,id_lot,nb_piece,prix_tva_normale,prix_HT,prix_m2_HT
0,42_4_GardenCity-Inten'City_Bouygues,2.0,172500.0,143750.0,3347.69
1,45_2_GardenCity-Inten'City_Bouygues,2.0,179500.0,149583.33,3267.44
2,45_1_GardenCity-Inten'City_Bouygues,2.0,182500.0,152083.33,3337.36
3,45_2__1_GardenCity-Inten'City_Bouygues,2.0,184500.0,153750.0,3373.93
4,67_1_GardenCity-Inten'City_Bouygues,3.0,236500.0,197083.33,2905.55
5,69_1_GardenCity-Inten'City_Bouygues,3.0,239500.0,199583.33,2869.23
6,62_4_GardenCity-Inten'City_Bouygues,3.0,251500.0,209583.33,3345.84
7,67_2_GardenCity-Inten'City_Bouygues,3.0,262500.0,218750.0,3224.97
8,78_1_GardenCity-Inten'City_Bouygues,4.0,263500.0,219583.33,2796.88
9,69_2_GardenCity-Inten'City_Bouygues,3.0,265500.0,221250.0,3180.71
10,67_4_GardenCity-Inten'City_Bouygues,3.0,274500.0,228750.0,3406.05
11,67_3_GardenCity-Inten'City_Bouygues,3.0,275500.0,229583.33,3384.69
12,69_3_GardenCity-Inten'City_Bouygues,3.0,277500.0,231250.0,3348.05
13,76_2_GardenCity-Inten'City_Bouygues,4.0,285500.0,237916.67,3128.84
14,76_3_GardenCity-Inten'City_Bouygues,4.0,289500.0,241250.0,3172.67
15,78_2_GardenCity-Inten'City_Bouygues,4.0,,,
16,80_4_GardenCity-Inten'City_Bouygues,4.0,312500.0,260416.67,3220.19
17,78_3_GardenCity-Inten'City_Bouygues,4.0,315500.0,262916.67,3348.83
18,96_1_L'Emblmatique-HTELDIEU_Bouygues,4.0,399500.0,332916.67,3453.85
19,88_5_L'Emblmatique-HTELDIEU_Bouygues,4.0,453500.0,377916.67,4266.39
20,96_2_L'Emblmatique-HTELDIEU_Bouygues,4.0,458500.0,382083.33,3963.93
21,96_4_L'Emblmatique-HTELDIEU_Bouygues,4.0,475500.0,396250.0,4110.9
22,128_4_L'Emblmatique-HTELDIEU_Bouygues,4.0,619000.0,515833.33,3999.64
23,128_4__1_L'Emblmatique-HTELDIEU_Bouygues,4.0,651500.0,542916.67,4209.64
24,128_5_L'Emblmatique-HTELDIEU_Bouygues,4.0,671500.0,559583.33,4338.86
25,41_1_PrismeBtimentA_Bouygues,2.0,159000.56872037915,132500.47,3193.55
26,44_1_PrismeBtimentA_Bouygues,2.0,166000.37914691944,138333.65,3128.31
27,41_3_PrismeBtimentA_Bouygues,2.0,168999.8104265403,140833.18,3394.39
28,46_0_PrismeBtimentA_Bouygues,2.0,173000.1895734597,144166.82,3086.42
29,41_4_PrismeBtimentA_Bouygues,2.0,174000.0,145000.0,3494.82
30,46_0__1_PrismeBtimentA_Bouygues,2.0,174999.8104265403,145833.18,3157.93
31,50_0_PrismeBtimentA_Bouygues,2.0,180999.8104265403,150833.18,2980.3
32,41_5_PrismeBtimentA_Bouygues,2.0,180999.8104265403,150833.18,3635.41
33,44_4_PrismeBtimentA_Bouygues,2.0,181999.62085308056,151666.35,3429.81
34,44_5_PrismeBtimentA_Bouygues,2.0,189000.5687203792,157500.47,3561.75
35,65_1_PrismeBtimentA_Bouygues,3.0,204999.8104265403,170833.18,2621.75
36,65_2_PrismeBtimentA_Bouygues,3.0,211999.62085308056,176666.35,2711.27
37,65_3_PrismeBtimentA_Bouygues,3.0,217999.62085308056,181666.35,2788.0
